reference,hypothesis,scenario,wer,cer
notes view प्रत्येक slide में notes जोड़ने की सुविधा देता है जोकि प्रस्तुतिकरण के वक्त नज़र नहीं the,नोट्स व्यू प्रत्येक स्लाइड में नोट जोड़ने की सुविधा देता है जो कि प्रस्तुतिकरण के वक््त नजर नहीं आते,hi-en,0.3889,0.3108
handout view slides को हैन्डाउट के रूप में print करने की सुविधा देता है,हैंडआउट व्यू स्लाइड्स को हैंडआउट के रूप में प्रिट,hi-en,0.7143,0.6909
यहाँ हमें एक पेज पर कितने slides print करने हैं इसका चुनाव कर सकते हैं,करने की सुविधा देता है यहां हमें एक पेज पर कितने स्लाइड प्रिंट करने हैं इसका चुनाव,hi-en,0.6667,0.6481
slide sorter view slides की थम्बनेल बताता है,कर सकते हैं स्लाइड्स वॉटर व्यू स्लाइड्स की थम नेल,hi-en,1.25,0.8421
अब फिर से normal view button पर click करते हैं,बताता है अब फिर से नॉर्मल व्यू बटन पर,hi-en,0.8,0.7805
screen की बाईं ओर आप slides pane देखते हैं यह प्रस्तुति में slides के थम्बनेल सम्मिलित करता है,क्लिक करते हैं स्क्रीन की बाई और आप स्लाइड्स पेन देखते हैं यह प्रस्तुति में स्लाइड्स के थमनेल सम्मिलित करता है,hi-en,0.5,0.4384
दाएँ तरफ tasks pane हैं जिसमें अनुभाग है,दाए तरफ टास्क पेन है जिसमें अनुभाग है,hi-en,0.25,0.3
लेआउट्स section में पहले से ही कुछ सैम्पल लेआउट्स मौजूद हैं,प्लेआउट सेक्शन में पहले से ही कुछ,hi-en,0.5455,0.6047
हम उनका उपयोग ऐसे ही कर सकते हैं या आवश्यकता अनुसार कुछ बदलाव करके उपयोग कर सकते हैं,सैंपल लेआउट्स मौजूद हैं हम उनका उपयोग ऐसे ही कर सकते हैं या आवश्यकतताानुसार कुछ,hi-en,0.6667,0.6308
जैसे जैसे हम इन tutorial में आगे बढ़ेंगे इन sections को विस्तार में देखेंगे,बदलाव करके उपयोग कर सकते हैं जैसे जैसे हम इन ट्यूटूरल्स में आगे बढ़ेंगे इंफेक्शंस को विस्तार में,hi-en,0.7143,0.8333
चलिए अब सीखते हैं कि कैसे slide को insert करें यानि जोड़ें slides pane में दूसरी slide पर क्लिक करके उसे चुनें,देखेंगे चलिए अब सीखते हैं कि कैसे स्लाइड को इंसर्ट करें यानी जोड़ें स्लाइड्स पेन में दूसरी स्लाइड पर क्लिक,hi-en,0.4091,0.4878
अब insert और slide पर click करें,करके उसे चुने अब इंसर्ट और स्लाइड पर क्लिक करें,hi-en,0.8571,0.8667
हम देखते हैं कि दूसरी slide के बाद एक नई खाली slide जुड़ गई है,हम देखते हैं कि दूसरी स्लाैइट के बाद एक नई खाली स्लाैट जुड़ गई है,hi-en,0.1333,0.2083
slide पर शीर्षक लिखने के लिए टेक्स्टबार में click to add title पर click करें,स्लाइड पर शीर्षक लिखने के लिए टेक्स्ट बार में क्लिक,hi-en,0.6667,0.5645
अब short term strategy type करें और text box के बाहर click करें,टू एड टाइटल पर क्लिक करें अब शॉर्ट टर्म स्ट्रेटेजी टाइप करें और टेक्स्ट बॉक्स के बाहर क्लिक,hi-en,1.0769,0.8772
अतः शीर्षक इस तरह से जोड़ सकते हैं,िक करें अतः शीर्षक इस तरह से,hi-en,0.625,0.56
यहाँ दो तरीके है जिससे हम slide की प्रतिलिपि डुप्लिकेट बना सकते हैं,से जोड़ सकते हैं यहां दो तरीके हैं जिससे हम फलैट की प्रतिलिपि बना सकते,hi-en,0.5385,0.5217
पहले तरीके को देखते हैं insert पर click करें और फिर duplicate slide पर click करें,ते हैं पहले तरीके को देखते हैं इंसर्ट पर क्लिक करें और फिर डुप्लीकेेट् से,hi-en,0.5625,0.5882
हम देख सकते हैं कि एक नई duplicate slide हमारी पहली बनाई गई slide के बाद जोड़ी गई है,इड पर क्लिक करें हम देख सकते हैं कि एक नई डुप्लीकेट स्लाइड हमारी पहली बनाई गई स्लाइड के बाद जोड़ी गई है,hi-en,0.3684,0.4638
या तो workspace pane में जाकर slide sorter क्लिक करके slide sorter view पर जाएँ,या तो वर्क स्पेस पेन में जाकर स्लाइड शॉटर क्लिक करके स्लाइड शॉटर व्यू पर जाएं,hi-en,0.5333,0.5652
अब सातवीं स्लाइड को कॉपी करें स्लाइड पर राइट क्लिक करें और कांटेक्स्ट मेन्यू से copy चुनें,अब सातवीं स्लाइड को कॉपी करें स्लाइड पर राइट क्लिक करें और कॉन्टेक्स्ट मेन्यू से कॉपी चुने,hi-en,0.1176,0.082
आखरी स्लाइड पर राइट क्लिक करें paste पर क्लिक करें,आखिरी स्लाइड पर राइट क्लिक करें पेस्ट पर क्लिक करें,hi-en,0.1,0.1316
after चुनें और ok click करें,आफ टच ने और ओके क्ली,hi-en,1.0,0.6522
प्रेसेंटेशन के अंत में आपने स्लाइड की एक कॉपी बना ली है,करें प्रेजेंटेशन के अंत में आपने स्लाइड के,hi-en,0.5833,0.4595
चलिए अब फोंट्स और फोंट्स को फॉर्मेट करने के कुछ तरीके देखते हैं,एक कॉपी बना ली है चलिए फोन््स और फोन्ट्स को फॉर्मेट करने के कुछ तरीके देखते,hi-en,0.6923,0.4186
long term goal नामक slide पर double क्लिक करके उसे चुनते हैं,हैं लॉन्ग टर्म गोल नामक स्लाइड पर डबल क्लिक करके उसे चुनते हैं,hi-en,0.5,0.4706
body टेक्स्ट बॉक्स पर क्लिक करें और पुरे टेक्स्ट को चुनें अब इसे डिलीट करें,हैं बॉडी टेक्स्ट बॉक्स पर क्लिक करें और पूरे टेक्ट,hi-en,0.6,0.4423
अब निम्न टाइप करें : reduce costs reduce dependence on few vendors develop customized applications,को चुने अब इसे डिलीट करें अब निम्न टाइप करें रिड्यूस कॉस्ट रिड्यूस डिपेंडेंस ऑन फ्यू वेंडर्स डेवलप कस्टमाइजड एप्लीकेशन लिबर ऑफ,hi-en,1.2857,0.9011
libreoffice writer documents में font का प्रकार और font size को जिस प्रकार बदला था यहाँ भी वैसे ही कर सकते हैं,स राइटर डॉक्यूमेंट्स में फॉन्ट का प्रकार और फॉन्ट साइज को जिस प्रकार बदला था यहां भी वैसे ही कर,hi-en,0.3636,0.4889
text की एक line चुनें text format टूलबार में font type को albany से arial black में बदलें,सकते हैं टेक्स्ट की एक लाइन चुने टेक्स्ट फॉर्मेट टूल बार में फॉन टाइप को एल्बेनी से एरियल ब्लैक में ब,hi-en,0.7778,0.68
और font size को 32 से 40 में बदलें,बदलें और फोन साइज को बत्तीस से चालीस में बदलें,hi-en,0.5556,0.6786
text box से बाहर कहीं भी click करें,टेक्स्ट बॉक्स से बाहर कहीं भी क्लिक करें,hi-en,0.375,0.4286
ध्यान दें कि font बदल गई है,ध्यान देगी फौन्ट बदल गई है,hi-en,0.4286,0.2857
हम main menu से format पर क्लिक करके और फिर character option पर क्लिक करके भी font को बदल सकते हैं,हम मेन मेन्यू से फॉर्मेट पर क्लिक करके और फिर कैरेक्टर ऑप्शन पर क्लिक करके भी फॉर्म,hi-en,0.4762,0.5294
यह एक डायलॉग बॉक्स खोलेगा जिसमें हम अपनी आवश्यकतानुसार फॉन्ट स्टाइल और साइज़ सेट कर सकते हैं,को बदल सकते हैं यह एक डायलॉग बॉक्स खोलेगा जिसमें हम अपनी आवश्यकत अनुसार,hi-en,0.7647,0.5821
इस डायलॉग बॉक्स को बंद करते हैं,फॉन्ट स्टाइल और साइज सेट कर सकते हैं इस डायलॉग बॉक्स को बंद कर,hi-en,1.4286,1.4091
font का color बदलने के लिए हम development up to present नामक slide को चुनते हैं,करते हैं फोन का कलर बदलने के लिए हम डेवलपमेंट अप टू प्रेजेंट नामक स्लाइट को चुनते हैं,hi-en,0.5625,0.5652
body text box पर click करते हैं और फिर सारे text को चुनते हैं,हैं बॉडी टेक्स्ट बॉक्स पर क्लिक करते हैं और फिर सारे टेक्स्ट को चुनते हैं,hi-en,0.4286,0.4
font color icon के पास में डाउन arrow पर click करें और जो चाहिए वो color चुनें,फॉल्ट कलर आइकन के पास में डाउन एरो पर क्लिक करें और जो चाहिए वह कलर चुने टेक्स्ट बुक,hi-en,0.5294,0.5781
text box के बाहर कहीं भी click करें,बॉक्स के बाहर कहीं भी क्लिक करें कलर में हुए,hi-en,0.75,0.7143
colour में हुए बदलाव को देखें,बदलाव को देखें लेबर ऑफिस डॉक्यूमेंट्स में,hi-en,1.1667,1.0476
libreoffice documents में जिस प्रकार से bold italics और underline जैसे formatting की थी यहाँ भी उसी प्रकार से कर सकते हैं,जिस प्रकार से बोल्ड इटालिक और अंडरलाइन जैसे फॉर्मेटिंग की थी यहां भी उसी प्रकार से कर सकते हैं रिकमेंड,hi-en,0.3636,0.5842
recommendations नामक slide को चुनें,कंडेशंस नामक स्लाइड को चुनें,hi-en,0.4,0.6667
body text box पर click करें और text की एक line चुनें,बॉडी टेक्स्ट बॉक्स पर क्लिक करें और टैक्स्ट की एक लाइन चुनें,hi-en,0.5,0.5217
अब bold italics और underline icons पर click करें,अब बोल्ड इटालिक और अंडरलाइन आइकन पर क्लिक,hi-en,0.6667,0.6957
text box के बाहर कहीं भी click करें,करें टेक्स्ट बॉक्स के बाहर कहीं भी क्लिक करें,hi-en,0.5,0.5357
text में हुए बदलाव पर ध्यान दें,टेक्स्ट में हुए बदलाव पर ध्यान दें,hi-en,0.1429,0.1739
अब हम इस tutorial की समाप्ति की ओर हैं,अब हम इस ट्यूटोरियल के समाप्ति की ओर हैं,hi-en,0.1111,0.2581
संक्षिप्त में बताते हैं कि हमने क्या सीखा इस tutorial में हमने इम्प्रेस विंडो के भागों के बारे में सीखा और कैसे स्लाइड इन्सर्ट करें और कॉपी करें फॉन्ट to फॉन्ट को फॉर्मेट करना सीखा,संक्षिप्त में बताते हैं कि हमने क्या सीखा इस टूटोरियल में हमने इंप्रेस विंडो के भागों के बारे में सीखा और कैसे स्लाइड इंसर्ट करें और कॉपी करें फट तथा फॉट को फॉर्मेट करना सीखा,hi-en,0.1714,0.1157
इस व्यापक नियत कार्य की कोशिश करें,इस व्यापक नीियत कार्य की कोशिश,hi-en,0.1429,0.125
एक नयी प्रस्तुति बनाए,करें एक नई प्रस्तुति बनाएं,hi-en,0.5,0.2667
तीसरी और चौथी slide के बीच एक slide जोड़ें,तीसरी और चौथी स्लाइड के बीच एक स्लाइड जोड़ें प्रस्तुति,hi-en,0.3333,0.5
प्रस्तुति के अंत में चौथी स्लाइड की एक कॉपी बनाए,के अंत में चौथी स्लाइड की एक कॉपी बनाए दूसरी,hi-en,0.2,0.3125
दूसरी स्लाइड में एक टेक्स्ट बॉक्स बनाए उसमें कुछ टेक्स्ट टाइप करें,स्लाइड में एक टेक्स्ट बॉक्स बनाएं उसमें कुछ टेक्स्ट टाइप करें,hi-en,0.0833,0.0889
text के format को 32 font size में बदलें,टेक्स्ट के फॉर्मेट को बत्तीस फॉन्ट साइज में बदलें,hi-en,0.5556,0.6471
text को bold italic underlined करें और नीला रंग दें,टेक्स्ट को बोल्ड इटालिक अंडरलाइन करें और नीला रंग दें,hi-en,0.4,0.5581
निम्न link पर उपलब्ध video देखें,नि्ंदन लिंक पर उपलब्ध वीडियो देखें,hi-en,0.5,0.3846
यह spoken tutorial project को सारांशित करता है,यह स्पोकन टिटोरल प्रोजेक्ट को सारांशित करता है,hi-en,0.375,0.5385
यदि आपके पास अच्छा bandwidth नहीं है तो आप इसे download करके देख सकते हैं,यदि आपके पास अच्छा बैनविथ नहीं है तो आप इसे डाउनलोड करके देख सकते,hi-en,0.2,0.3276
spoken tutorial project team spoken tutorial का उपयोग करके कार्यशालाएँ भी चलाते हैं,हैं स्पोकन टिट्रोल प्रोजेक्ट टीम स्पोकन टिट्रोल का उपयोग करके कम,hi-en,0.8462,0.7429
जो online test pass करते हैं उनको प्रमाणपत्र भी देते हैं,कार शालाएं भी चलाते हैं जो ऑनलाइन टेस्ट पास करते हैं उनको प्रमाण,hi-en,1.0909,0.8372
अधिक जानकारी के लिए कृपया हमें contact @spokentutorial org पर लिखें,पत्र भी देते हैं अधिक जानकारी के लिए कृपया हमें कॉन्टैक्ट एट स्पोकन हाइफंड ट्यूटोरियल डॉट ओ आरजी पर लिखें,hi-en,1.0909,0.8113
spoken tutorial project talktoateacher project का हिस्सा है,स्पोकन ट्यूटोरियल प्रोजेक्ट टॉक टूअ टीचर प्रोजेक्ट का हिस्सा है,hi-en,0.875,0.7778
यह भारत सरकार के एमएचआरडी के आईसीटी के माध्यम से राष्ट्रीय साक्षरता mission द्वारा समर्थित है,यह भारत सरकार के एमएचआरडी के आईसीीटी के माध्यम से राष्ट्रीय साक्षरता मिशन द्वारा समर्थित है इस मिशन पर अधिक जान,hi-en,0.375,0.3478
इस mission पर अधिक जानकारी के लिए उपलब्ध लिंक पर संपर्क करें,कारी के लिए उपलब्ध लिंक पर संपर्क करें स्पोकन हाइफंड टूटोरियल डॉट ओ आरजी स्लैश एनएमई आईसीटी हाइफन इंट्रो यह स्क्रिप्ट सकीना शेर,hi-en,1.6667,1.4894
यह स्क्रिप्ट सकीना शेख द्वारा अनुवादित है आईआई टी बॉम्बे की ओर से मैं रवि कुमार अब आपसे विदा लेता हूँ,द्वारा अनुवादित है आईआईटी बॉम्बे की ओर से मैं रवि कुमार अब आपसे विदा लेता हूं हमसे जुड़ने,hi-en,0.381,0.3623
हमसे जुड़ने के लिए धन्यवाद,के लिए धन्यवाद,hi-en,0.4,0.4444
नमस्कार ! command line arguments पर spoken tutorial में आपका स्वागत है,नमस्कार कमांड लाइन आर्ग्यूमेंट्स पर स्पोकन टूटोरियल में आपका स्वागत है,hi-en,0.4545,0.5667
इस tutorial में हम एक उदाहरण से arguments के साथ main function के बारे में सीखेंगे,इस टूटोरियल में हम एक उदाहरण से आर्ग्यूमेंट्स के साथ मेन फंक्शन के बारे में सीखेंगे,hi-en,0.25,0.4328
इस tutorial के लिए मैं उपयोग कर रही हूँ ubuntu operating system version 1110 और ubuntu पर gcc compiler version 461,इस टूटोरियल के लिए मैं उपयोग कर रही हूं ओबन टू ऑपरेटिंग सिस्टम वर्षन इलेवन पॉवाइंट वन जीरो और ओबन टू पर जीसीसीी कंपाइलर वर्शन फोर पॉवाइंट सिक्स पॉवाइंट वन,hi-en,0.9524,0.7547
इस tutorial के अनुसरण के लिए आपको c tutorials से परिचित होना चाहिए,इस टूटोरियल के अनुसरण के लिए आपको सी टूटोरियल से परिचित होना चाहिए,hi-en,0.2308,0.3333
यदि नहीं तो सम्बंधित tutorials के लिए कृपया हमारी दर्शायी website पर जाएँ,यदि नहीं तो संबंधित टुटोरियल्स के लिए कृपया हमारी दर्शाई वेबसाइट पर जाएं,hi-en,0.3077,0.3273
अब अपना program शुरू करते हैं मेरे पास एक code file है मैं इसे खोलूँगी,अब अपना प्रोग्राम शुरू करते हैं मेरे पास एक कोट फाइल है मैं इसे खोलूँगी,hi-en,0.2,0.283
main hyphen with hyphen args c file का name है,मेन हाइफन विद हाइफन आर्ग्स डॉट सी फाइल का नाम है,hi-en,0.9,0.7727
अब मैं program को समझाती हूँ,अब मैं प्रोग्राम को समझाती हूँ,hi-en,0.1667,0.3333
ये header files हैं stdio h core input और output functions को परिभाषित करता है,ये हेडर फाइल्स हैं एसटी डी आई ओ डॉट एच कोर इनपुट और आउटपुट फंक्शंस को परिभाषित करता है,hi-en,0.8,0.6377
stdlib h header file निम्न को परिभाषित करता है,एसटी डी लेिब डॉट एच हैेडरफाइल निम्न को परिभाषित करता है न्यूमेरिक कन्वर्शन फंक्शन सूडो रैंडम नंबर्स जेनरेशन फंक्शन मेमरी एलोकेशन प्रोसेस कंट्रोल फंक्शंस,hi-en,2.1111,2.2632
यह हमारा main function है इसके अंदर हमने दो arguments passed किये हैं,यह हमारा मेन फंक्शन है इसके अंदर हमने दो आर्ग्यूमेंटस पास किए हैं इंट ए आर जी सी कैर एस्टरिस्क एस्टरिस्क ए आर जी वी,hi-en,1.3077,1.0517
argc program को दिए गए command line arguments की संख्या को दिखाता है,ए आर जी सी प्रोग्राम को दिए गए कमांड लाइन आर्ग्यूमेंट्स की संख्या को दिखाता है,hi-en,0.6154,0.5789
यह program के वास्तविक name को सम्मिलित करता है,यह प्रोग्राम के वास्तविक नाम को सम्मिलित करता है,hi-en,0.2222,0.2973
argv index 0 से शुरू होने वाले वास्तविक arguments को रखता है,ए आरजी बी इंडेक्स ज़ीरो से शुरू होने वाले वास्तविक आर्ग्यूमेंट्स को रखता है,hi-en,0.5,0.4681
index 0 उस program का name है,इंडेक्स जीरो उस प्रोग्राम का नाम है,hi-en,0.5714,0.6667
index 1 program को passed किया गया पहला argument होगा,इंडेक्स वन प्रोग्राम को पास किया गया पहला आर्ग्यूमेंट होगा,hi-en,0.5,0.6087
index 2 program को passed किया गया दूसरा argument होगा और आगे भी इसी प्रकार,इंडेक्स टू प्रोग्राम को पास किया गया दूसरा आर्ग्यूमेंट होगा और आगे भी इसी प्रकार,hi-en,0.3333,0.4355
यह statement program को passed किये गए arguments की कुल संख्या को दिखायेगा,यह स्टेटमेंट प्रोग्राम को पास किए गए आर्ग्यूमेंट्स की कुल संख्या को दिखाएगा,hi-en,0.4615,0.541
यह program को passed किये गए पहले argument को दिखायेगा,यह प्रोग्राम को पास किए गए पहले आर्ग्यूमेंट को दिखाएगा,hi-en,0.5,0.5111
1 index 1 पर argument को दिखाता है,वन इंडेक्स वन पर आर्ग्यूमेंट को दिखाता है,hi-en,0.5,0.5862
while condition arguments की संख्या को घटाएगी,वाइल्ड कंडीशन आर्ग्यूमेंट्स की संख्या को घटाएगी,hi-en,0.4286,0.6053
यह statement program को passed किये गए सारे arguments को print करेगा,यह स्टेटमेंट प्रोग्राम को पास किए गए सारे आर्ग्यूमेंट्स को प्रिंट करेगा,hi-en,0.5,0.6167
at में हमारे पास return 0 statement है,अंत में हमारे पास रिटर्न जीरो स्टेटमेंट है और,hi-en,0.625,0.6562
